hour,home_demand,fast_demand,transfer,price_factor,home_load,fast_load,total_load
0,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
1,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
2,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
3,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
4,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
5,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
6,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
7,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
8,300.0,90.0,47.16981038181376,1.999999926224924,1769.8113273273036,8230.188622908825,9999.999950236128
9,300.0,90.0,47.16981038181376,1.999999926224924,1769.8113273273036,8230.188622908825,9999.999950236128
10,300.0,90.0,47.16981038181376,1.999999926224924,1769.8113273273036,8230.188622908825,9999.999950236128
11,300.0,90.0,47.16981038181376,1.999999926224924,1769.8113273273036,8230.188622908825,9999.999950236128
12,500.0,150.0,45.0,1.5,3185.0,11700.0,14885.0
13,500.0,150.0,45.0,1.5,3185.0,11700.0,14885.0
14,500.0,150.0,45.0,1.5,3185.0,11700.0,14885.0
15,500.0,150.0,45.0,1.5,3185.0,11700.0,14885.0
16,500.0,150.0,45.0,1.5,3185.0,11700.0,14885.0
17,500.0,150.0,45.0,1.5,3185.0,11700.0,14885.0
18,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
19,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
20,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
21,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
22,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
23,400.0,120.0,36.0,1.5,2548.0,9360.0,11908.0
